room_avg_temp,room_max_temp,room_min_temp,room_std_temp,room_avg_speed,room_max_speed,machine_machine_1_box_temp,machine_machine_1_surround_temp,machine_machine_2_box_temp,machine_machine_2_surround_temp,machine_machine_3_box_temp,machine_machine_3_surround_temp,machine_machine_4_box_temp,machine_machine_4_surround_temp,machine_machine_5_box_temp,machine_machine_5_surround_temp,machine_machine_6_box_temp,machine_machine_6_surround_temp,sim_ambient_mean,sim_ambient_median,ambient_cell_count,human_count,sim_wall_temp_mean,sim_wall_temp_median,frame,sim_time_s,sim_time_min,real_datetime,timestamp,ambient_temp_mean_c,background_pixels,background_confidence,date,time
20.815403312478974,27.96326250979049,20.67663153716208,0.4462725335785643,0.0,0.0,,20.85908123276924,24.785734176635746,20.85537722947743,27.957859262219333,21.445664104894913,27.066476119526044,21.33819602312141,20.78948527792449,20.78944547410647,24.037116960567914,21.080242081088077,20.786518700133126,20.788406825407392,6910,0,20.7984941152956,20.78652013270311,1,30.0,0.5,2025-04-29 09:00:30,,,,,,
20.803781486610962,27.963262515890246,20.660283504669245,0.4590232570139806,0.0,0.0,,20.9205784681805,24.785734176635746,20.909644173302375,27.958582993864713,21.71962753716354,27.067015762941697,21.581747577570706,20.779338979215492,20.779274284385334,24.037688169165637,21.195385313347714,20.773817940844697,20.777269113531315,6910,0,20.791667087986703,20.773828186702588,2,60.0,1.0,2025-04-29 09:01:00,,,,,,
20.79178197395822,27.963262518935235,20.645648420767987,0.466957053058081,0.0,0.0,,20.978953180069507,24.785734176635746,20.960517037227785,27.95890301315476,21.881219582711882,27.06724354927743,21.723062992473036,20.769548113192965,20.769467646391117,24.03789658360789,21.257906204832985,20.7618363085596,20.76655745800801,6910,0,20.783553037295842,20.761639034505144,3,90.0,1.5,2025-04-29 09:01:30,,,,,,
20.780077405633527,27.96326252093949,20.632485048151793,0.4727258018468331,0.0,0.0,,21.033445506870226,24.785734176635746,21.007533242051267,27.95909253156047,21.9933529924517,27.067371147046718,21.818329138079427,20.760100185133776,20.760010787770923,24.038002641190328,21.300247061339487,20.750508642971795,20.75625919793434,6910,0,20.7753693123578,20.74994932311974,4,120.0,2.0,2025-04-29 09:02:00,,,,,,
20.768881473848673,27.96326252238481,20.62060118246901,0.47735273036590414,0.0,0.0,,21.08404988314522,24.785734176635746,21.050806062718102,27.959224301217322,22.078906561757126,27.067455407219704,21.889569665245077,20.750983167306064,20.750890874784055,24.038072601050345,21.33290625151538,20.739786637702366,20.746358816866596,6910,0,20.767448175322713,20.738809477616332,5,150.0,2.5,2025-04-29 09:02:30,,,,,,
20.758261478956516,27.963262523502046,20.60984118888329,0.48128993357079447,0.0,0.0,,21.13097133404218,24.785734176635746,21.09061762186944,27.959324716107268,22.14835010604172,27.06751694320781,21.94676018696618,20.74218547370744,20.742095954193715,24.038125882675192,21.359822383846883,20.7296310925667,20.736841659469682,6910,0,20.75988633602137,20.728030434492414,6,180.0,3.0,2025-04-29 09:03:00,,,,,,
20.748228102599725,27.963262524403227,20.600076960638926,0.4847629888770185,0.0,0.0,,21.17446802478392,24.785734176635746,21.127278982389825,27.95940557062969,22.2071416715039,27.067564832633114,21.994882125249955,20.733695938088456,20.733614481546123,24.038169310164733,21.38276330930307,20.720007432648632,20.727691794098398,6910,0,20.752706017263954,20.71784438861018,7,210.0,3.5,2025-04-29 09:03:30,,,,,,
20.73876783274189,27.963262525151105,20.591201344115472,0.48789411156695167,0.0,0.0,,21.21480117006305,24.785734176635746,21.161084240709986,27.959472976679027,22.258359431363285,27.06760367566298,22.036625525138156,20.725503794577282,20.725435204098634,24.038205873488405,21.40267855142982,20.71088404956295,20.718896112082092,6910,0,20.7459029470146,20.708067440880264,8,240.0,4.0,2025-04-29 09:04:00,,,,,,
20.72985658412439,27.963262525784263,20.58312334193437,0.490754073344953,0.0,0.0,,21.252218757958538,24.785734176635746,21.192298183226466,27.959530465200082,22.30384350347395,27.06763606791652,22.073550754588503,20.717598660273257,20.71754717792735,24.038237196490297,21.420160174753562,20.702231652935755,20.71043947929539,6910,0,20.739462910559553,20.69880876417892,9,270.0,4.5,2025-04-29 09:04:30,,,,,,
20.72146598545882,27.96326252632808,20.575764598183834,0.49338675984873864,0.0,0.0,,21.286950787028633,24.785734176635746,21.22115565710775,27.959580258299574,22.34475502327683,27.06766360566458,22.106628783776117,20.709970519337535,20.709939809437298,24.038264318420094,21.43561940943805,20.694022952885568,20.702309232496837,6910,0,20.733368128750445,20.689867772151732,10,300.0,5.0,2025-04-29 09:05:00,,,,,,
20.713566436853363,27.96326252680018,20.569056808593018,0.4958215361623977,0.0,0.0,,21.319208615921145,24.785734176635746,21.24786456299141,27.959623857175092,22.381868815966964,27.067687342377518,22.13650726427382,20.702609708262916,20.702602883625694,24.038287978539927,21.449363260902945,20.686232459557612,20.69449307164188,6910,0,20.727599906826534,20.681319088961374,11,330.0,5.5,2025-04-29 09:05:30,,,,,,
