time_s,time_min,T_room_max_C,supply_temp_C,controller_enabled
0.0,0.0,20.8,20.5,True
300.0666666666548,5.001111111110913,25.979545650993717,20.0,True
600.000000000046,10.000000000000767,24.50457763671875,19.5,True
900.0000000002848,15.000000000004746,24.214445114135746,19.0,True
1200.0000000002233,20.00000000000372,24.19293975830078,18.5,True
1500.066666666617,25.001111111110284,23.98467445373535,18.0,True
1800.0666666663442,30.001111111105736,23.731555938720703,17.5,True
2100.0666666660713,35.00111111110119,23.653732299804688,17.0,True
2400.0666666657985,40.00111111109664,23.295324325561523,16.5,True
2700.0666666655256,45.001111111092094,23.509737014770508,16.0,True
3000.066666665253,50.001111111087546,23.74458885192871,16.0,True
3300.06666666498,55.001111111083,25.018949508666992,16.0,True
