room_avg_temp,room_max_temp,room_min_temp,room_std_temp,room_avg_speed,room_max_speed,machine_machine_1_box_temp,machine_machine_1_surround_temp,machine_machine_2_box_temp,machine_machine_2_surround_temp,machine_machine_3_box_temp,machine_machine_3_surround_temp,machine_machine_4_box_temp,machine_machine_4_surround_temp,machine_machine_6_box_temp,machine_machine_6_surround_temp,ambient_temp_median,ambient_temp_mean,ambient_temp_std,ambient_cell_count,human_count,frame,sim_time_s,sim_time_min,real_datetime
20.818677166851806,30.009952545166016,20.644601657247648,0.6337038687847877,0.0,0.0,,20.774584147596997,26.880054473876957,20.973806758034407,24.909532906353796,21.139651507482373,23.013527270260735,20.959344142063753,23.195072378035054,20.97945123278509,20.754544439632774,20.754293014748207,0.034181578800178344,12606,5,1,30.0,0.5,2025-04-23 14:29:30
20.786366491440706,30.009952545166016,20.607426915017655,0.6475071758802274,0.0,0.0,,20.751499290581503,26.880054473876957,21.129135892765017,24.909904531869863,21.264731966774274,23.013687893041883,21.015593629821932,23.195434543540415,21.038835233871673,20.715976259018504,20.716679746560565,0.05461837207227084,12606,5,2,60.0,1.0,2025-04-23 14:30:00
20.75852258033772,30.009952545166016,20.579923614120673,0.6565382953967315,0.0,0.0,,20.73046698696616,26.880054473876957,21.242590826327252,24.9100542589002,21.32805354491742,23.013745911203845,21.038945969456677,23.195548095789924,21.062878349227258,20.683257066042884,20.68541614906704,0.06531349172023312,12606,5,3,90.0,1.5,2025-04-23 14:30:30
20.73507266138577,30.009952545166016,20.559527299168888,0.6634152840938086,0.0,0.0,,20.711279493509853,26.880054473876957,21.330026470114074,24.910134137445503,21.36551358875531,23.013772992903295,21.04896996578739,23.195595522532056,21.074511234522372,20.65549994975084,20.659401342098295,0.07235457623183708,12606,5,4,120.0,2.0,2025-04-23 14:31:00
20.715406897485042,30.009952545166016,20.544373416952318,0.6689419609523632,0.0,0.0,,20.693758779331553,26.880054473876957,21.400637285661936,24.910183876002193,21.38982544329326,23.013787609748388,21.05293514992773,23.19562084718013,21.08080759239917,20.631947807209023,20.637695148107163,0.07758284530892234,12606,5,5,150.0,2.5,2025-04-23 14:31:30
20.698903126661335,30.009952545166016,20.533098327739033,0.6734617737000043,0.0,0.0,,20.677747630619134,26.880054473876957,21.45939481785663,24.91021778824571,21.406653539735853,23.013796207462935,21.053943119410594,23.19563657699893,21.084335043106474,20.611972499330136,20.619523388972983,0.08164326479916631,12606,5,6,180.0,3.0,2025-04-23 14:32:00
20.667953812488985,28.848115255907356,20.524699958740175,0.5519472490159271,0.0,0.0,,20.70204680852007,24.65207862854004,21.441220971063423,23.34507965956832,21.279395507796682,21.965013211782072,20.964333633267188,22.30461331287545,21.008550819008768,20.59665517580373,20.6531736669016,0.5390512283500795,12747,0,7,210.0,3.5,2025-04-23 14:32:30
20.648842395631416,27.782306556003928,20.51843909911934,0.48337216693685725,0.0,0.0,,20.726936986163867,24.65207862854004,21.42150729711567,23.344949789016344,21.232167359722208,21.964933625217125,20.924782739001625,22.304473945733058,20.978171078139262,20.582215550928222,20.633739037722393,0.46405813369709686,12747,0,8,240.0,4.0,2025-04-23 14:33:00
20.632557960079286,26.82804993021664,20.513768776904286,0.4272817287588843,0.0,0.0,,20.749739149359442,24.62590217590332,21.401266700778457,23.361957291706645,21.209031221957392,21.9450036970664,20.900319817870702,22.277577643647383,20.959149313753656,20.569932389414188,20.617019479938637,0.401168271408314,12747,0,9,270.0,4.5,2025-04-23 14:33:30
20.618640470102807,25.981312586977605,20.51028329079947,0.3812188753592237,0.0,0.0,,20.769767862050248,24.62590217590332,21.381398320440415,23.36193485621931,21.1942131252933,21.944986161443076,20.884206682064928,22.277551003017845,20.946633406017536,20.55948551062757,20.60260004557457,0.34792759444965377,12747,0,10,300.0,5.0,2025-04-23 14:34:00
