time_s,time_min,T_room_max_C,supply_temp_C,controller_enabled
0.0,0.0,20.8,20.5,True
300.0666666666548,5.001111111110913,23.881281,20.0,True
600.000000000046,10.000000000000767,23.694803,19.5,True
900.0000000002848,15.000000000004746,23.549917,19.0,True
1200.0000000002233,20.00000000000372,23.405497,18.5,True
1500.066666666617,25.001111111110284,23.335562,18.0,True
1800.0666666663442,30.001111111105736,22.986038,17.5,True
2100.0666666660713,35.00111111110119,22.845814,17.0,True
2400.0666666657985,40.00111111109664,22.502104,16.5,True
2700.0666666655256,45.001111111092094,22.87018,16.0,True
3000.066666665253,50.001111111087546,23.394159,16.0,True
3300.06666666498,55.001111111083,24.188148326657835,16.0,True
