room_avg_temp,room_max_temp,room_min_temp,room_std_temp,room_avg_speed,room_max_speed,machine_machine_1_box_temp,machine_machine_1_surround_temp,machine_machine_2_box_temp,machine_machine_2_surround_temp,machine_machine_3_box_temp,machine_machine_3_surround_temp,machine_machine_4_box_temp,machine_machine_4_surround_temp,machine_machine_6_box_temp,machine_machine_6_surround_temp,sim_ambient_mean,sim_ambient_median,ambient_cell_count,human_count,sim_wall_temp_mean,sim_wall_temp_median,frame,sim_time_s,sim_time_min,real_datetime
20.84421541173634,30.009952545166016,20.67663153716208,0.617185716972614,0.0,0.0,,20.822763913147107,26.880054473876957,20.99559333634195,24.909589296382343,21.166735926815022,23.013563106309448,20.98364303488121,23.195151298557853,21.00469250245636,20.78849253229124,20.788540376121816,6884,5,20.807149013312813,20.78652013270311,1,30.0,0.5,2025-04-23 14:29:30
20.83476309451757,30.009952545166016,20.660283504669245,0.6299171130603302,0.0,0.0,,20.846863897319842,26.880054473876957,21.17869947055211,24.910002235309953,21.320448656455344,23.013750386714964,21.063823895688827,23.195570963535555,21.08752877876083,20.777762311533245,20.777749218473257,6884,5,20.80242985013809,20.773828186702588,2,60.0,1.0,2025-04-23 14:30:00
20.824408349390527,30.009952545166016,20.645648420767987,0.6384393944698921,0.0,0.0,,20.869713512742198,26.880054473876957,21.321740490756618,24.910183664970155,21.409882740922573,23.013827994942915,21.10830318936214,23.19572258083206,21.131592539910855,20.767443839791255,20.767250221486435,6884,5,20.795579300461405,20.761639034505144,3,90.0,1.5,2025-04-23 14:30:30
20.814185124627173,30.009952545166016,20.632485048151793,0.6454446374915389,0.0,0.0,,20.89094781151685,26.880054473876957,21.439604358558277,24.910290344107395,21.471109257519345,23.013870495859173,21.13684131247184,23.195798668450912,21.160847119532036,20.75769899689985,20.757158909832157,6884,5,20.78822264707002,20.749949323125136,4,120.0,2.0,2025-04-23 14:31:00
20.804371286685708,30.009952545166016,20.62060118246901,0.6516892757192996,0.0,0.0,,20.910553465839733,26.880054473876957,21.54123179341018,24.910364007872694,21.517238417602186,23.013897892214032,21.15717097771475,23.195848197483922,21.183043574988915,20.748540491729337,20.74765886642892,6884,5,20.78088746983038,20.738809477616332,5,150.0,2.5,2025-04-23 14:31:30
20.79504473673316,30.009952545166016,20.60984118888329,0.6574010474431535,0.0,0.0,,20.92861592821178,26.880054473876957,21.631397281172806,24.910419791479075,21.554264960459847,23.01391742519409,21.172786242174837,23.195885514279063,21.20108678720775,20.739932896292352,20.7386413417084,6884,5,20.77376999984057,20.728030434492467,6,180.0,3.0,2025-04-23 14:32:00
20.775066382625283,29.588412788845485,20.600076960638926,0.5904473094196594,0.0,0.0,,20.952475509393444,24.65207862854004,21.655790272080253,23.345286238359165,21.44227940990837,21.96513356355282,21.093803428083227,22.30486392605468,21.136431591464316,20.82936753855337,20.73025632448578,7025,0,20.762009056551474,20.717844388610395,7,210.0,3.5,2025-04-23 14:32:30
20.762235378019035,29.143966544236914,20.591201344115472,0.5541000891117969,0.0,0.0,,20.975248753522276,24.65207862854004,21.67588978144296,23.345163331063226,21.407270217310884,21.965053942384465,21.062065119688484,22.30472830464361,21.11522486678874,20.81576789888067,20.721877561323453,7025,0,20.75255542938792,20.708066539898457,8,240.0,4.0,2025-04-23 14:33:00
20.75031414800998,28.6893506698125,20.58312334193437,0.522259879340317,0.0,0.0,,20.996913524847685,24.62590217590332,21.69281540798541,23.362179506002875,21.395391794153973,21.94512519634187,21.044334941320287,22.277839267053324,21.104582542167815,20.802792729232095,20.713673706169118,7025,0,20.74399111482935,20.698807049965154,9,270.0,4.5,2025-04-23 14:33:30
20.739168402536514,28.234179690500383,20.575764598183834,0.4937955853519894,0.0,0.0,,21.017029288696754,24.62590217590332,21.70755217565931,23.36216577407927,21.391042038660476,21.945109412162918,21.034169210717135,22.27782104321311,21.099587811663127,20.790414461222795,20.705793806510012,7025,0,20.736023285176078,20.689867772301305,10,300.0,5.0,2025-04-23 14:34:00
